
   INFO  Server running on [http://127.0.0.1:8001].  

  Press Ctrl+C to stop the server

  2026-04-05 17:47:21 /gate-monitor ............................................................................ ~ 1s
  2026-04-05 17:47:22 /api/detections/report ................................................................... ~ 1s
  2026-04-05 17:47:23 /login ............................................................................. ~ 565.41ms
  2026-04-05 17:47:22 /frames/cam_1.jpg ........................................................................ ~ 1s
  2026-04-05 17:47:55 / .................................................................................. ~ 516.75ms
  2026-04-05 17:47:55 /login ................................................................................... ~ 1s
  2026-04-05 17:47:57 /favicon.ico ....................................................................... ~ 512.65ms
  2026-04-05 17:48:12 /login ................................................................................... ~ 1s
  2026-04-05 17:48:12 /dashboard ............................................................................... ~ 2s
  2026-04-05 17:48:14 /login ............................................................................. ~ 516.89ms
  2026-04-05 17:48:15 /login ................................................................................... ~ 1s
  2026-04-05 17:48:16 /login ................................................................................... ~ 1s
  2026-04-05 17:48:17 /gate .............................................................................. ~ 518.76ms
  2026-04-05 17:48:18 /gate .................................................................................... ~ 1s
  2026-04-05 17:48:17 /frames/cam_1.jpg?t=1775389698 ........................................................... ~ 1s
  2026-04-05 17:48:19 /api/detections/latest ............................................................. ~ 543.27ms
  2026-04-05 17:48:19 /api/detections/report ................................................................... ~ 1s
  2026-04-05 17:48:19 /snapshots/cam_1_20260405_155531_465.jpg ................................................. ~ 1s
  2026-04-05 17:48:19 /snapshots/cam_1_20260405_155527_487.jpg ................................................. ~ 1s
  2026-04-05 17:48:19 /snapshots/cam_1_20260405_155528_533.jpg ................................................. ~ 1s
  2026-04-05 17:48:20 /frames/cam_1.jpg?t=1775389698662 ........................................................ ~ 1s
  2026-04-05 17:48:20 /snapshots/cam_1_20260405_155522_539.jpg ............................................ ~ 15.00ms
  2026-04-05 17:48:20 /snapshots/cam_1_20260405_155520_427.jpg ........................................... ~ 110.55ms
  2026-04-05 17:48:20 /snapshots/cam_1_20260405_155521_338.jpg ........................................... ~ 114.81ms
  2026-04-05 17:48:20 /snapshots/cam_1_20260405_155525_486.jpg ........................................... ~ 117.92ms
  2026-04-05 17:48:20 /snapshots/cam_1_20260405_155523_668.jpg ........................................... ~ 119.35ms
  2026-04-05 17:48:20 /frames/cam_1.jpg?t=1775389700664 ................................................... ~ 20.22ms
  2026-04-05 17:48:21 /frames/cam_1.jpg?t=1775389701674 .................................................... ~ 0.60ms
  2026-04-05 17:48:21 /api/detections/latest ............................................................. ~ 598.07ms
  2026-04-05 17:48:22 /frames/cam_1.jpg?t=1775389702672 .................................................... ~ 1.55ms
  2026-04-05 17:48:23 /frames/cam_1.jpg?t=1775389703664 ................................................... ~ 32.74ms
