
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-04-06 10:10:36 /frames/cam_1.jpg?t=1775448636774 .................................................... ~ 0.59ms
  2026-04-06 10:10:37 /frames/cam_1.jpg?t=1775448637764 .................................................... ~ 1.22ms
  2026-04-06 10:10:38 /api/detections/latest ............................................................. ~ 517.44ms
  2026-04-06 10:10:38 /frames/cam_1.jpg?t=1775448638765 .................................................. ~ 520.90ms
  2026-04-06 10:10:39 /frames/cam_1.jpg?t=1775448639757 .................................................... ~ 2.06ms
  2026-04-06 10:10:40 /api/detections/report ............................................................. ~ 506.38ms
  2026-04-06 10:10:40 /frames/cam_1.jpg?t=1775448640763 .................................................. ~ 510.54ms
  2026-04-06 10:10:41 /api/detections/latest ............................................................. ~ 506.73ms
  2026-04-06 10:10:41 /frames/cam_1.jpg?t=1775448641757 .................................................. ~ 519.21ms
  2026-04-06 10:10:42 /frames/cam_1.jpg?t=1775448642755 .................................................... ~ 2.07ms
  2026-04-06 10:10:43 /frames/cam_1.jpg?t=1775448643759 ................................................... ~ 14.38ms
  2026-04-06 10:10:44 /api/detections/latest ............................................................. ~ 528.31ms
  2026-04-06 10:10:44 /frames/cam_1.jpg?t=1775448644775 .................................................. ~ 751.97ms
  2026-04-06 10:10:45 /api/detections/report ............................................................... ~ 1.58ms
  2026-04-06 10:10:45 /frames/cam_1.jpg?t=1775448645756 ................................................... ~ 10.26ms
  2026-04-06 10:10:46 /frames/cam_1.jpg?t=1775448646754 .................................................... ~ 1.58ms
  2026-04-06 10:10:47 /frames/cam_1.jpg?t=1775448647776 .................................................. ~ 159.95ms
  2026-04-06 10:10:47 /api/detections/latest ............................................................. ~ 513.90ms
  2026-04-06 10:10:48 /frames/cam_1.jpg?t=1775448648775 .................................................... ~ 0.55ms
  2026-04-06 10:10:49 /api/internal/cameras .............................................................. ~ 506.35ms
  2026-04-06 10:10:49 /frames/cam_1.jpg?t=1775448649764 .................................................. ~ 170.98ms
  2026-04-06 10:10:50 /api/detections/report ............................................................. ~ 517.38ms
  2026-04-06 10:10:50 /frames/cam_1.jpg?t=1775448650755 .................................................. ~ 520.83ms
  2026-04-06 10:10:51 /api/detections/latest ............................................................. ~ 503.53ms
  2026-04-06 10:10:51 /camera-config ..................................................................... ~ 513.59ms
  2026-04-06 10:10:52 /frames/cam_1.jpg?t=1775448651765 .................................................... ~ 0.41ms
  2026-04-06 10:11:04 /api/internal/cameras .............................................................. ~ 527.65ms
  2026-04-06 10:11:20 /api/internal/cameras .............................................................. ~ 502.11ms
  2026-04-06 10:11:35 /api/internal/cameras .................................................................... ~ 1s
  2026-04-06 10:11:51 /api/internal/cameras .............................................................. ~ 522.04ms
  2026-04-06 10:12:06 /api/internal/cameras .............................................................. ~ 524.25ms
  2026-04-06 10:12:22 /api/internal/cameras .............................................................. ~ 524.06ms
  2026-04-06 10:12:37 /api/internal/cameras .................................................................... ~ 1s
  2026-04-06 10:12:53 /api/internal/cameras .................................................................... ~ 1s
  2026-04-06 10:13:09 /api/internal/cameras .............................................................. ~ 503.85ms
  2026-04-06 10:13:24 /api/internal/cameras .................................................................... ~ 1s
  2026-04-06 10:13:41 /api/internal/cameras .............................................................. ~ 519.78ms
  2026-04-06 10:13:56 /api/internal/cameras ................................................................ ~ 0.74ms
  2026-04-06 10:14:12 /api/internal/cameras ................................................................ ~ 0.54ms
  2026-04-06 10:14:27 /api/internal/cameras .............................................................. ~ 511.85ms
  2026-04-06 10:14:42 /api/internal/cameras .............................................................. ~ 515.68ms
  2026-04-06 10:14:58 /api/internal/cameras .............................................................. ~ 503.76ms
  2026-04-06 10:15:14 /api/internal/cameras ................................................................ ~ 0.92ms
  2026-04-06 10:15:29 /api/internal/cameras ............................................................... ~ 38.62ms
  2026-04-06 10:15:44 /api/internal/cameras .............................................................. ~ 506.13ms
  2026-04-06 10:16:00 /api/internal/cameras .............................................................. ~ 569.30ms
  2026-04-06 10:16:16 /api/internal/cameras .............................................................. ~ 517.05ms
  2026-04-06 10:16:31 /api/internal/cameras .................................................................... ~ 1s
  2026-04-06 10:16:47 /api/internal/cameras ................................................................ ~ 8.34ms
  2026-04-06 10:17:03 /api/internal/cameras .................................................................... ~ 1s
  2026-04-06 10:17:19 /api/internal/cameras .............................................................. ~ 754.86ms
  2026-04-06 10:17:30 /camera-config ........................................................................... ~ 2s
  2026-04-06 10:17:40 /api/internal/cameras .............................................................. ~ 532.46ms
  2026-04-06 10:17:43 /camera-config ........................................................................... ~ 1s
  2026-04-06 10:17:57 /api/internal/cameras .............................................................. ~ 507.15ms
  2026-04-06 10:17:33 /camera-config/1 ........................................................................ ~ 26s
  2026-04-06 10:17:59 /camera-config ........................................................................... ~ 1s
  2026-04-06 10:18:03 /camera-config/2 ......................................................................... ~ 1s
  2026-04-06 10:18:03 /camera-config ........................................................................... ~ 1s
  2026-04-06 10:18:08 /camera-config/3 ................................................................... ~ 506.32ms
  2026-04-06 10:18:09 /camera-config ..................................................................... ~ 509.39ms
  2026-04-06 10:18:12 /api/internal/cameras .................................................................... ~ 1s
  2026-04-06 10:18:27 /api/internal/cameras .............................................................. ~ 549.67ms
  2026-04-06 10:18:53 /api/internal/cameras .............................................................. ~ 511.20ms
  2026-04-06 10:18:57 /api/internal/cameras .................................................................... ~ 1s
  2026-04-06 10:19:08 /api/internal/cameras .............................................................. ~ 503.43ms
  2026-04-06 10:19:23 /api/internal/cameras .................................................................... ~ 1s
  2026-04-06 10:19:40 /api/internal/cameras .............................................................. ~ 506.07ms
  2026-04-06 10:19:56 /api/internal/cameras .................................................................... ~ 1s
  2026-04-06 10:20:07 /camera-config ..................................................................... ~ 627.63ms
  2026-04-06 10:20:11 /api/internal/cameras .............................................................. ~ 504.22ms
  2026-04-06 10:20:07 /dashboard ............................................................................... ~ 6s
  2026-04-06 10:20:27 /api/internal/cameras .............................................................. ~ 518.25ms
  2026-04-06 10:20:42 /api/internal/cameras .............................................................. ~ 516.13ms
  2026-04-06 10:20:58 /api/internal/cameras .............................................................. ~ 511.85ms
  2026-04-06 10:21:13 /api/internal/cameras .............................................................. ~ 500.68ms
  2026-04-06 10:21:29 /api/internal/cameras ................................................................ ~ 0.44ms
  2026-04-06 10:21:44 /api/internal/cameras .............................................................. ~ 632.95ms
  2026-04-06 10:22:00 /api/internal/cameras .............................................................. ~ 515.62ms
  2026-04-06 10:22:16 /api/internal/cameras .............................................................. ~ 518.30ms
  2026-04-06 10:22:31 /api/internal/cameras .............................................................. ~ 553.34ms
  2026-04-06 10:22:47 /api/internal/cameras .............................................................. ~ 715.86ms
  2026-04-06 10:20:13 ...................................................................................... ~ 2m 44s
  2026-04-06 10:23:03 /api/internal/cameras .............................................................. ~ 565.34ms
  2026-04-06 10:23:18 /api/internal/cameras .............................................................. ~ 602.47ms
  2026-04-06 10:23:34 /api/internal/cameras .............................................................. ~ 503.75ms
  2026-04-06 10:23:49 /api/internal/cameras .................................................................... ~ 2s
  2026-04-06 10:24:07 /api/internal/cameras .............................................................. ~ 520.11ms
  2026-04-06 10:24:22 /api/internal/cameras .............................................................. ~ 518.88ms
  2026-04-06 10:24:38 /api/internal/cameras .............................................................. ~ 522.60ms
  2026-04-06 10:24:53 /api/internal/cameras .............................................................. ~ 518.81ms
  2026-04-06 10:25:09 /api/internal/cameras .............................................................. ~ 506.53ms
  2026-04-06 10:25:24 /api/internal/cameras .............................................................. ~ 519.61ms
  2026-04-06 10:25:39 /api/internal/cameras .............................................................. ~ 511.44ms
  2026-04-06 10:25:55 /api/internal/cameras ................................................................ ~ 0.45ms
  2026-04-06 10:26:10 /api/internal/cameras .............................................................. ~ 507.54ms
  2026-04-06 10:26:12 /gate .................................................................................... ~ 1s
  2026-04-06 10:26:12 /frames/cam_1.jpg?t=1775449572 ........................................................... ~ 1s
  2026-04-06 10:26:13 /snapshots/cam_1_20260405_185836_030.jpg ............................................. ~ 4.09ms
  2026-04-06 10:26:13 /snapshots/cam_1_20260405_185835_084.jpg ............................................. ~ 0.47ms
  2026-04-06 10:26:13 /snapshots/cam_1_20260405_185833_544.jpg ............................................. ~ 3.68ms
  2026-04-06 10:26:13 /snapshots/cam_1_20260405_185831_840.jpg ............................................. ~ 3.10ms
  2026-04-06 10:26:13 /snapshots/cam_1_20260405_185827_759.jpg ............................................ ~ 15.91ms
  2026-04-06 10:26:13 /snapshots/cam_1_20260405_185823_888.jpg ............................................. ~ 0.37ms
  2026-04-06 10:26:13 /snapshots/cam_1_20260405_185830_776.jpg ............................................. ~ 4.91ms
  2026-04-06 10:26:13 /snapshots/cam_1_20260405_185824_999.jpg ............................................. ~ 9.77ms
  2026-04-06 10:26:13 /api/detections/latest ............................................................. ~ 510.76ms
  2026-04-06 10:26:14 /api/detections/report ................................................................... ~ 1s
  2026-04-06 10:26:13 /frames/cam_1.jpg?t=1775449573480 ........................................................ ~ 1s
  2026-04-06 10:26:14 /frames/cam_1.jpg?t=1775449574481 ........................................................ ~ 1s
  2026-04-06 10:26:15 /frames/cam_1.jpg?t=1775449575483 ................................................... ~ 10.16ms
  2026-04-06 10:26:16 /frames/cam_1.jpg?t=1775449576483 .................................................... ~ 0.78ms
  2026-04-06 10:26:16 /api/detections/latest ............................................................. ~ 541.84ms
  2026-04-06 10:26:17 /frames/cam_1.jpg?t=1775449577497 ................................................... ~ 65.10ms
  2026-04-06 10:26:18 /api/detections/report ............................................................. ~ 509.61ms
  2026-04-06 10:26:18 /frames/cam_1.jpg?t=1775449578481 .................................................. ~ 512.72ms
  2026-04-06 10:26:19 /api/detections/latest ............................................................... ~ 0.75ms
  2026-04-06 10:26:19 /frames/cam_1.jpg?t=1775449579491 .................................................... ~ 6.55ms
  2026-04-06 10:26:20 /frames/cam_1.jpg?t=1775449580485 .................................................... ~ 1.83ms
  2026-04-06 10:26:22 /api/detections .................................................................... ~ 501.15ms
  2026-04-06 10:26:22 /api/detections/latest ............................................................. ~ 541.42ms
  2026-04-06 10:26:22 /frames/cam_1.jpg?t=1775449582203 .................................................. ~ 546.11ms
  2026-04-06 10:26:22 /frames/cam_1.jpg?t=1775449582481 .................................................. ~ 548.51ms
  2026-04-06 10:26:23 /gate .............................................................................. ~ 614.12ms
  2026-04-06 10:26:24 /api/detections/report ................................................................... ~ 1s
  2026-04-06 10:26:23 /frames/cam_1.jpg?t=1775449583482 ........................................................ ~ 1s
  2026-04-06 10:26:24 /api/detections/latest ............................................................. ~ 503.73ms
  2026-04-06 10:26:24 /api/detections/report ................................................................... ~ 1s
  2026-04-06 10:26:24 /frames/cam_1.jpg?t=1775449584 ........................................................... ~ 1s
  2026-04-06 10:26:24 /frames/cam_1.jpg?t=1775449584277 ........................................................ ~ 1s
  2026-04-06 10:26:25 /frames/cam_1.jpg?t=1775449585281 .................................................. ~ 581.42ms
  2026-04-06 10:26:26 /frames/cam_1.jpg?t=1775449586280 .................................................... ~ 0.28ms
  2026-04-06 10:26:26 /api/internal/cameras .............................................................. ~ 504.58ms
  2026-04-06 10:26:27 /api/detections/latest ............................................................. ~ 508.50ms
  2026-04-06 10:26:27 /frames/cam_1.jpg?t=1775449587283 .................................................. ~ 570.38ms
  2026-04-06 10:26:28 /frames/cam_1.jpg?t=1775449588293 .................................................... ~ 1.03ms
  2026-04-06 10:26:29 /api/detections/report ............................................................. ~ 509.65ms
  2026-04-06 10:26:29 /frames/cam_1.jpg?t=1775449589279 .................................................. ~ 513.09ms
  2026-04-06 10:26:30 /api/detections/latest ............................................................. ~ 587.81ms
  2026-04-06 10:26:30 /frames/cam_1.jpg?t=1775449590293 .................................................. ~ 592.80ms
  2026-04-06 10:26:31 /frames/cam_1.jpg?t=1775449591314 .................................................... ~ 0.59ms
  2026-04-06 10:26:32 /frames/cam_1.jpg?t=1775449592295 .................................................... ~ 0.67ms
  2026-04-06 10:26:33 /frames/cam_1.jpg?t=1775449593277 .................................................. ~ 849.62ms
  2026-04-06 10:26:33 /api/detections/latest ............................................................. ~ 515.94ms
  2026-04-06 10:26:34 /api/detections/report ............................................................... ~ 0.42ms
  2026-04-06 10:26:34 /frames/cam_1.jpg?t=1775449594289 .................................................... ~ 2.23ms
  2026-04-06 10:26:35 /frames/cam_1.jpg?t=1775449595284 .................................................... ~ 0.84ms
  2026-04-06 10:26:36 /api/detections/latest ............................................................. ~ 502.60ms
  2026-04-06 10:26:36 /frames/cam_1.jpg?t=1775449596293 .................................................. ~ 506.60ms
  2026-04-06 10:26:37 /frames/cam_1.jpg?t=1775449597284 .................................................... ~ 0.80ms
  2026-04-06 10:26:38 /frames/cam_1.jpg?t=1775449598284 ................................................... ~ 61.37ms
  2026-04-06 10:26:39 /frames/cam_1.jpg?t=1775449599285 .................................................... ~ 0.78ms
  2026-04-06 10:26:39 /api/detections/report ............................................................... ~ 0.31ms
  2026-04-06 10:26:39 /api/detections/latest ............................................................. ~ 546.83ms
  2026-04-06 10:26:40 /frames/cam_1.jpg?t=1775449600300 .................................................... ~ 0.63ms
  2026-04-06 10:26:41 /frames/cam_1.jpg?t=1775449601283 ................................................... ~ 58.00ms
  2026-04-06 10:26:41 /api/internal/cameras ................................................................ ~ 0.62ms
  2026-04-06 10:26:42 /api/detections/latest ................................................................... ~ 1s
  2026-04-06 10:26:42 /frames/cam_1.jpg?t=1775449602284 ........................................................ ~ 1s
  2026-04-06 10:26:43 /frames/cam_1.jpg?t=1775449603280 .................................................... ~ 0.30ms
  2026-04-06 10:26:44 /api/detections/report ............................................................. ~ 523.02ms
  2026-04-06 10:26:44 /frames/cam_1.jpg?t=1775449604293 .................................................. ~ 527.20ms
  2026-04-06 10:26:45 /api/detections/latest ............................................................. ~ 510.16ms
  2026-04-06 10:26:45 /frames/cam_1.jpg?t=1775449605283 .................................................. ~ 514.47ms
  2026-04-06 10:26:46 /frames/cam_1.jpg?t=1775449606293 .................................................... ~ 0.84ms
  2026-04-06 10:26:47 /frames/cam_1.jpg?t=1775449607279 .................................................... ~ 2.44ms
  2026-04-06 10:26:48 /frames/cam_1.jpg?t=1775449608283 ................................................... ~ 84.67ms
  2026-04-06 10:26:48 /api/detections/latest ............................................................. ~ 550.31ms
  2026-04-06 10:26:49 /api/detections/report ................................................................... ~ 1s
  2026-04-06 10:26:49 /frames/cam_1.jpg?t=1775449609293 ........................................................ ~ 1s
  2026-04-06 10:26:50 /frames/cam_1.jpg?t=1775449610285 .................................................... ~ 0.71ms
  2026-04-06 10:26:51 /frames/cam_1.jpg?t=1775449611284 .................................................... ~ 1.00ms
  2026-04-06 10:26:51 /api/detections/latest ............................................................. ~ 520.40ms
  2026-04-06 10:26:52 /frames/cam_1.jpg?t=1775449612279 .................................................... ~ 0.55ms
  2026-04-06 10:26:53 /frames/cam_1.jpg?t=1775449613283 ................................................... ~ 14.93ms
  2026-04-06 10:26:54 /frames/cam_1.jpg?t=1775449614293 .................................................... ~ 0.73ms
  2026-04-06 10:26:54 /api/detections/report ............................................................. ~ 505.32ms
  2026-04-06 10:26:54 /api/detections/latest ............................................................. ~ 518.18ms
  2026-04-06 10:26:55 /frames/cam_1.jpg?t=1775449615291 .................................................... ~ 0.35ms
  2026-04-06 10:26:56 /frames/cam_1.jpg?t=1775449616283 ................................................... ~ 55.91ms
  2026-04-06 10:26:57 /api/detections/latest ............................................................. ~ 559.64ms
  2026-04-06 10:26:57 /frames/cam_1.jpg?t=1775449617278 .................................................. ~ 564.05ms
  2026-04-06 10:26:57 /api/internal/cameras .............................................................. ~ 514.83ms
  2026-04-06 10:26:58 /frames/cam_1.jpg?t=1775449618283 .................................................... ~ 0.32ms
  2026-04-06 10:26:59 /frames/cam_1.jpg?t=1775449619293 .................................................... ~ 0.67ms
  2026-04-06 10:26:59 /api/detections/report ............................................................. ~ 509.66ms
  2026-04-06 10:27:00 /api/detections/latest ............................................................. ~ 594.54ms
  2026-04-06 10:27:00 /frames/cam_1.jpg?t=1775449620282 .................................................. ~ 622.20ms
  2026-04-06 10:27:01 /frames/cam_1.jpg?t=1775449621283 .................................................... ~ 0.90ms
  2026-04-06 10:27:02 /frames/cam_1.jpg?t=1775449622293 .................................................... ~ 0.62ms
  2026-04-06 10:27:03 /api/detections/latest ............................................................. ~ 583.09ms
  2026-04-06 10:27:03 /frames/cam_1.jpg?t=1775449623290 .................................................. ~ 586.66ms
  2026-04-06 10:27:04 /frames/cam_1.jpg?t=1775449624285 .................................................... ~ 0.46ms
  2026-04-06 10:27:04 /api/detections/report ................................................................... ~ 1s
  2026-04-06 10:27:05 /frames/cam_1.jpg?t=1775449625290 .................................................... ~ 2.57ms
  2026-04-06 10:27:06 /frames/cam_1.jpg?t=1775449626301 ................................................... ~ 79.95ms
  2026-04-06 10:27:06 /api/detections/latest ............................................................. ~ 514.35ms
  2026-04-06 10:27:07 /frames/cam_1.jpg?t=1775449627293 .................................................... ~ 0.62ms
  2026-04-06 10:27:08 /frames/cam_1.jpg?t=1775449628293 ................................................... ~ 25.96ms
  2026-04-06 10:27:09 /frames/cam_1.jpg?t=1775449629283 .................................................... ~ 1.10ms
  2026-04-06 10:27:09 /api/detections/report ............................................................. ~ 546.08ms
  2026-04-06 10:27:09 /api/detections/latest ............................................................. ~ 499.09ms
  2026-04-06 10:27:10 /frames/cam_1.jpg?t=1775449630280 .................................................... ~ 1.98ms
  2026-04-06 10:27:11 /frames/cam_1.jpg?t=1775449631286 .................................................... ~ 2.36ms
  2026-04-06 10:27:12 /frames/cam_1.jpg?t=1775449632297 .................................................... ~ 0.59ms
  2026-04-06 10:27:12 /api/detections/latest ............................................................... ~ 0.45ms
  2026-04-06 10:27:13 /api/internal/cameras .............................................................. ~ 503.00ms
  2026-04-06 10:27:13 /frames/cam_1.jpg?t=1775449633293 .................................................... ~ 0.33ms
  2026-04-06 10:27:14 /api/detections/report ............................................................. ~ 563.39ms
  2026-04-06 10:27:14 /frames/cam_1.jpg?t=1775449634284 .................................................. ~ 569.46ms
  2026-04-06 10:27:15 /api/detections/latest ............................................................. ~ 502.09ms
  2026-04-06 10:27:15 /frames/cam_1.jpg?t=1775449635283 .................................................. ~ 505.34ms
  2026-04-06 10:27:16 /frames/cam_1.jpg?t=1775449636283 .................................................... ~ 0.52ms
  2026-04-06 10:27:17 /frames/cam_1.jpg?t=1775449637286 .................................................... ~ 1.00ms
  2026-04-06 10:27:18 /frames/cam_1.jpg?t=1775449638288 .................................................... ~ 9.75ms
  2026-04-06 10:27:18 /api/detections/latest ............................................................. ~ 576.80ms
  2026-04-06 10:27:19 /api/detections/report ............................................................. ~ 501.78ms
  2026-04-06 10:27:19 /frames/cam_1.jpg?t=1775449639293 .................................................. ~ 506.40ms
  2026-04-06 10:27:20 /frames/cam_1.jpg?t=1775449640286 .................................................... ~ 0.80ms
  2026-04-06 10:27:21 /api/detections/latest ............................................................. ~ 512.42ms
  2026-04-06 10:27:21 /frames/cam_1.jpg?t=1775449641282 .................................................. ~ 517.62ms
  2026-04-06 10:27:22 /frames/cam_1.jpg?t=1775449642282 .................................................... ~ 0.76ms
  2026-04-06 10:27:24 /frames/cam_1.jpg?t=1775449644197 ................................................... ~ 30.83ms
